story_id,lane,length,violation_count,categories,markers
1092,web,long,1,WEB_CONTRACTION,\bdon['’]t\b
1092,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bhe['’]s\b
1092,web,full,1,WEB_CONTRACTION,\bdon['’]t\b
1092,kjv,short,0,,
1093,kjv,short,0,,
1093,kjv,full,0,,
1093,kjv,long,0,,
1093,web,short,0,,
1093,web,long,6,WEB_CONTRACTION,\bdidn['’]t\b;\bwouldn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b;\bhadn['’]t\b;\bI['’]m\b
1093,web,full,3,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bwouldn['’]t\b
1093,web,long,0,,
1093,web,full,0,,
1093,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bwouldn['’]t\b
1094,web,long,7,WEB_CONTRACTION,\bdidn['’]t\b;\bwouldn['’]t\b;\bcan['’]t\b;\bdon['’]t\b;\bit['’]s\b;\bthat['’]s\b;\bI['’]m\b
1094,web,full,2,WEB_CONTRACTION,\bdidn['’]t\b;\bI['’]m\b
1094,kjv,short,0,,
1094,web,short,0,,
1094,web,full,0,,
1094,web,long,0,,
1094,kjv,long,0,,
1094,kjv,full,0,,
1094,web,short,3,WEB_CONTRACTION,\bdidn['’]t\b;\bcan['’]t\b;\bI['’]m\b
1095,web,full,0,,
1095,web,long,0,,
1095,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bcouldn['’]t\b
1095,web,short,0,,
1095,kjv,short,0,,
1095,web,full,4,WEB_CONTRACTION,\bdidn['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b;\bhe['’]s\b
1095,kjv,long,0,,
1095,kjv,full,0,,
1095,web,long,4,WEB_CONTRACTION,\bdidn['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b;\bhe['’]s\b
1096,web,short,0,,
1096,kjv,full,0,,
1096,kjv,long,0,,
1096,web,short,5,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b;\byou['’]re\b
1096,kjv,short,0,,
1096,web,long,1,WEB_CONTRACTION,\bdidn['’]t\b
1096,web,full,0,,
1096,web,long,8,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bcouldn['’]t\b;\bhadn['’]t\b;\bit['’]s\b;\bthat['’]s\b;\bI['’]m\b;\byou['’]re\b
1096,web,full,9,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bcan['’]t\b;\bdon['’]t\b;\bcouldn['’]t\b;\bhadn['’]t\b;\bit['’]s\b;\bthat['’]s\b;\byou['’]re\b
1097,web,full,4,WEB_CONTRACTION,\bdon['’]t\b;\bwon['’]t\b;\bcouldn['’]t\b;\bthat['’]s\b
1097,web,short,8,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bisn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\bit['’]s\b;\bwe['’]re\b;\byou['’]re\b
1097,web,long,6,WEB_CONTRACTION,\bdidn['’]t\b;\bwasn['’]t\b;\bdon['’]t\b;\bwon['’]t\b;\bit['’]s\b;\bthat['’]s\b
1097,kjv,full,0,,
1097,kjv,long,0,,
1097,kjv,short,0,,
1097,web,long,0,,
1097,web,full,0,,
1097,web,short,0,,
1098,web,short,2,WEB_CONTRACTION,\bdidn['’]t\b;\bdon['’]t\b
1098,web,long,0,,
1098,web,full,0,,
1098,kjv,full,0,,
1098,kjv,long,0,,
1098,kjv,short,0,,
